event_alias,bounded_context,class,producer,flow_pattern,authoritative_source,aggregate,synchronous_write_set,canonical_store,outbox_required,ordering,consumers,external_effect,retry_policy,dead_letter,reconciliation,privacy_class,evidence_kind,feature_input,retention_class,required_data,optional_data,notes
governance.consent.granted,governance,domain,governance,internal_domain_transaction,platform_domain_transaction,consent,domain state; canonical_event; outbox,immutable canonical event store,yes,consent: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,consent_projection;audit_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",restricted,server_transactional,ineligible,operational,consent_record_id;entrepreneur_id;purpose_code;notice_version;granted_at,expires_at,
governance.consent.withdrawn,governance,domain,governance,internal_domain_transaction,platform_domain_transaction,consent,domain state; canonical_event; outbox,immutable canonical event store,yes,consent: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,consent_projection;intervention_orchestrator;audit_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",restricted,server_transactional,ineligible,operational,consent_record_id;entrepreneur_id;purpose_code;withdrawn_at,reason_code,
catalog.journey_version.published,learning_catalog,domain,catalog,internal_domain_transaction,platform_domain_transaction,journey_version,domain state; canonical_event; outbox,immutable canonical event store,yes,journey_version: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,catalog_projection;audit_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",internal,server_transactional,ineligible,operational,journey_definition_id;journey_version_id;version;published_at,publisher_organization_id,
catalog.journey_version.retired,learning_catalog,domain,catalog,internal_domain_transaction,platform_domain_transaction,journey_version,domain state; canonical_event; outbox,immutable canonical event store,yes,journey_version: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,catalog_projection;audit_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",internal,server_transactional,ineligible,operational,journey_definition_id;journey_version_id;retired_at;reason_code,,
catalog.course_version.published,learning_catalog,domain,catalog,internal_domain_transaction,platform_domain_transaction,course_version,domain state; canonical_event; outbox,immutable canonical event store,yes,course_version: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,catalog_projection;audit_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",internal,server_transactional,ineligible,operational,course_definition_id;course_version_id;version;published_at,publisher_organization_id,
catalog.course_version.retired,learning_catalog,domain,catalog,internal_domain_transaction,platform_domain_transaction,course_version,domain state; canonical_event; outbox,immutable canonical event store,yes,course_version: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,catalog_projection;audit_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",internal,server_transactional,ineligible,operational,course_definition_id;course_version_id;retired_at;reason_code,,
catalog.activity_version.published,learning_catalog,domain,catalog,internal_domain_transaction,platform_domain_transaction,activity_version,domain state; canonical_event; outbox,immutable canonical event store,yes,activity_version: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,catalog_projection;audit_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",internal,server_transactional,ineligible,operational,activity_definition_id;activity_version_id;version;published_at,publisher_organization_id,
catalog.activity_version.retired,learning_catalog,domain,catalog,internal_domain_transaction,platform_domain_transaction,activity_version,domain state; canonical_event; outbox,immutable canonical event store,yes,activity_version: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,catalog_projection;audit_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",internal,server_transactional,ineligible,operational,activity_definition_id;activity_version_id;retired_at;reason_code,,
catalog.diagnostic_version.published,learning_catalog,domain,catalog,internal_domain_transaction,platform_domain_transaction,diagnostic_version,domain state; canonical_event; outbox,immutable canonical event store,yes,diagnostic_version: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,catalog_projection;audit_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",internal,server_transactional,ineligible,operational,diagnostic_definition_id;diagnostic_version_id;version;published_at,publisher_organization_id,
catalog.diagnostic_version.retired,learning_catalog,domain,catalog,internal_domain_transaction,platform_domain_transaction,diagnostic_version,domain state; canonical_event; outbox,immutable canonical event store,yes,diagnostic_version: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,catalog_projection;audit_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",internal,server_transactional,ineligible,operational,diagnostic_definition_id;diagnostic_version_id;retired_at;reason_code,,
catalog.assessment_version.published,learning_catalog,domain,catalog,internal_domain_transaction,platform_domain_transaction,assessment_version,domain state; canonical_event; outbox,immutable canonical event store,yes,assessment_version: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,catalog_projection;audit_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",internal,server_transactional,ineligible,operational,assessment_definition_id;assessment_version_id;version;published_at,publisher_organization_id,
catalog.assessment_version.retired,learning_catalog,domain,catalog,internal_domain_transaction,platform_domain_transaction,assessment_version,domain state; canonical_event; outbox,immutable canonical event store,yes,assessment_version: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,catalog_projection;audit_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",internal,server_transactional,ineligible,operational,assessment_definition_id;assessment_version_id;retired_at;reason_code,,
catalog.intervention_version.published,learning_catalog,domain,catalog,internal_domain_transaction,platform_domain_transaction,intervention_version,domain state; canonical_event; outbox,immutable canonical event store,yes,intervention_version: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,catalog_projection;audit_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",internal,server_transactional,ineligible,operational,intervention_definition_id;intervention_version_id;version;published_at,publisher_organization_id,
catalog.intervention_version.retired,learning_catalog,domain,catalog,internal_domain_transaction,platform_domain_transaction,intervention_version,domain state; canonical_event; outbox,immutable canonical event store,yes,intervention_version: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,catalog_projection;audit_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",internal,server_transactional,ineligible,operational,intervention_definition_id;intervention_version_id;retired_at;reason_code,,
journey.enrollment.created,journey_orchestration,domain,journey_orchestration,internal_domain_transaction,platform_domain_transaction,enrollment,domain state; canonical_event; outbox,immutable canonical event store,yes,enrollment: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,journey_projection;crm_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,rebuild projection from canonical events and compare with operational state,pseudonymous,server_transactional,ineligible,operational,enrollment_id;entrepreneur_id;business_id;journey_version_id;program_id;source,cohort_id;eligible_from;expires_at,
journey.enrollment.activated,journey_orchestration,domain,journey_orchestration,internal_domain_transaction,platform_domain_transaction,enrollment,domain state; canonical_event; outbox,immutable canonical event store,yes,enrollment: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,journey_projection;intervention_orchestrator,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,rebuild projection from canonical events and compare with operational state,pseudonymous,server_transactional,ineligible,operational,enrollment_id;journey_instance_id;activated_at,,
journey.enrollment.cancelled,journey_orchestration,domain,journey_orchestration,internal_domain_transaction,platform_domain_transaction,enrollment,domain state; canonical_event; outbox,immutable canonical event store,yes,enrollment: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,journey_projection;intervention_orchestrator;crm_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,rebuild projection from canonical events and compare with operational state,pseudonymous,server_transactional,ineligible,operational,enrollment_id;reason_code;cancelled_at,cancelled_by,
journey.enrollment.expired,journey_orchestration,domain,journey_orchestration,internal_domain_transaction,platform_domain_transaction,enrollment,domain state; canonical_event; outbox,immutable canonical event store,yes,enrollment: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,journey_projection;intervention_orchestrator,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,rebuild projection from canonical events and compare with operational state,pseudonymous,server_transactional,ineligible,operational,enrollment_id;expired_at;reason_code,,
journey.instance.available,journey_orchestration,domain,journey_orchestration,internal_domain_transaction,platform_domain_transaction,journey_instance,domain state; canonical_event; outbox,immutable canonical event store,yes,journey_instance: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,journey_projection;intervention_orchestrator,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,rebuild projection from canonical events and compare with operational state,pseudonymous,server_transactional,ineligible,operational,journey_instance_id;journey_version_id;available_at,expires_at,
journey.instance.started,journey_orchestration,behavioral_domain,journey_orchestration,internal_domain_transaction,platform_domain_transaction,journey_instance,domain state; canonical_event; outbox,immutable canonical event store,yes,journey_instance: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,journey_projection;behavioral_store;intervention_orchestrator,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,rebuild projection from canonical events and compare with operational state,pseudonymous,server_transactional,eligible,operational,journey_instance_id;started_at;entry_point,,
journey.instance.paused,journey_orchestration,domain,journey_orchestration,internal_domain_transaction,platform_domain_transaction,journey_instance,domain state; canonical_event; outbox,immutable canonical event store,yes,journey_instance: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,journey_projection;intervention_orchestrator,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,rebuild projection from canonical events and compare with operational state,pseudonymous,server_transactional,ineligible,operational,journey_instance_id;reason_code;paused_at,,
journey.instance.resumed,journey_orchestration,behavioral_domain,journey_orchestration,internal_domain_transaction,platform_domain_transaction,journey_instance,domain state; canonical_event; outbox,immutable canonical event store,yes,journey_instance: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,journey_projection;behavioral_store,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,rebuild projection from canonical events and compare with operational state,pseudonymous,server_transactional,eligible,operational,journey_instance_id;resumed_at,pause_duration_seconds,
journey.milestone.achieved,journey_orchestration,domain,journey_orchestration,internal_domain_transaction,platform_domain_transaction,journey_instance,domain state; canonical_event; outbox,immutable canonical event store,yes,journey_instance: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,journey_projection;credential_engine;crm_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,rebuild projection from canonical events and compare with operational state,pseudonymous,server_transactional,derived_only,operational,journey_instance_id;milestone_definition_id;milestone_code;achieved_at;evidence_refs,,
journey.instance.completed,journey_orchestration,domain,journey_orchestration,internal_domain_transaction,platform_domain_transaction,journey_instance,domain state; canonical_event; outbox,immutable canonical event store,yes,journey_instance: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,journey_projection;credential_engine;crm_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,rebuild projection from canonical events and compare with operational state,pseudonymous,server_transactional,derived_only,operational,journey_instance_id;completion_policy_version;completed_at;evidence_refs,completion_level,
journey.path.assigned,journey_orchestration,domain,journey_orchestration,internal_domain_transaction,platform_domain_transaction,path_assignment,domain state; canonical_event; outbox,immutable canonical event store,yes,path_assignment: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,journey_projection;explanation_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,rebuild projection from canonical events and compare with operational state,pseudonymous,server_transactional,ineligible,operational,path_assignment_id;journey_instance_id;path_template_id;assignment_policy_version;reason_codes,diagnostic_result_id;segment_assignment_ids,
journey.path.reassigned,journey_orchestration,domain,journey_orchestration,internal_domain_transaction,platform_domain_transaction,path_assignment,domain state; canonical_event; outbox,immutable canonical event store,yes,path_assignment: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,journey_projection;audit_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,rebuild projection from canonical events and compare with operational state,pseudonymous,server_transactional,ineligible,operational,path_assignment_id;previous_path_template_id;new_path_template_id;reason_codes;reassigned_at,actor_override_id,
journey.path.started,journey_orchestration,behavioral_domain,journey_orchestration,internal_domain_transaction,platform_domain_transaction,path_assignment,domain state; canonical_event; outbox,immutable canonical event store,yes,path_assignment: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,journey_projection;behavioral_store,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,rebuild projection from canonical events and compare with operational state,pseudonymous,server_transactional,eligible,operational,path_assignment_id;journey_instance_id;started_at,,
journey.path.completed,journey_orchestration,domain,journey_orchestration,internal_domain_transaction,platform_domain_transaction,path_assignment,domain state; canonical_event; outbox,immutable canonical event store,yes,path_assignment: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,journey_projection;credential_engine,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,rebuild projection from canonical events and compare with operational state,pseudonymous,server_transactional,derived_only,operational,path_assignment_id;completion_policy_version;completed_at;evidence_refs,,
journey.step.available,journey_orchestration,domain,journey_orchestration,internal_domain_transaction,platform_domain_transaction,activity_instance,domain state; canonical_event; outbox,immutable canonical event store,yes,activity_instance: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,journey_projection;intervention_orchestrator,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,rebuild projection from canonical events and compare with operational state,pseudonymous,server_transactional,ineligible,operational,activity_instance_id;journey_instance_id;path_step_id;activity_version_id;available_at,due_at,
journey.step.blocked,journey_orchestration,domain,journey_orchestration,internal_domain_transaction,platform_domain_transaction,activity_instance,domain state; canonical_event; outbox,immutable canonical event store,yes,activity_instance: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,journey_projection;explanation_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,rebuild projection from canonical events and compare with operational state,pseudonymous,server_transactional,ineligible,operational,activity_instance_id;rule_version;reason_codes;blocked_at,,
journey.step.unblocked,journey_orchestration,domain,journey_orchestration,internal_domain_transaction,platform_domain_transaction,activity_instance,domain state; canonical_event; outbox,immutable canonical event store,yes,activity_instance: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,journey_projection;intervention_orchestrator,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,rebuild projection from canonical events and compare with operational state,pseudonymous,server_transactional,ineligible,operational,activity_instance_id;rule_version;evidence_refs;unblocked_at,,
journey.step.skipped,journey_orchestration,behavioral_domain,journey_orchestration,internal_domain_transaction,platform_domain_transaction,activity_instance,domain state; canonical_event; outbox,immutable canonical event store,yes,activity_instance: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,journey_projection;behavioral_store,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,rebuild projection from canonical events and compare with operational state,pseudonymous,server_transactional,conditional,operational,activity_instance_id;skip_policy_version;skipped_at,reason_code;participant_choice,
diagnostic.session.started,diagnostics,behavioral_domain,diagnostics,internal_domain_transaction,platform_domain_transaction,diagnostic_session,domain state; canonical_event; outbox,immutable canonical event store,yes,diagnostic_session: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,diagnostic_projection;behavioral_store,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_transactional,eligible,operational,diagnostic_session_id;diagnostic_version_id;entrepreneur_id;started_at,journey_instance_id,
diagnostic.response.recorded,diagnostics,behavioral,diagnostics,client_or_external_observation,accepted_observation; not authoritative for critical domain state,diagnostic_session,accepted_observation/event_log; outbox; optional projection update,immutable canonical event store,yes,diagnostic_session: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,diagnostic_projection;behavioral_store,none by default,client may retry with same client_event_id; server deduplicates,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",restricted,server_acknowledged,conditional,operational,diagnostic_session_id;item_version_id;response_value;response_sequence;answered_at,response_time_ms;client_event_id,"Resposta pode ser sensível; payload deve usar códigos, nunca texto livre desnecessário."
diagnostic.response.changed,diagnostics,behavioral,diagnostics,client_or_external_observation,accepted_observation; not authoritative for critical domain state,diagnostic_session,accepted_observation/event_log; outbox; optional projection update,immutable canonical event store,yes,diagnostic_session: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,diagnostic_projection;behavioral_store,none by default,client may retry with same client_event_id; server deduplicates,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",restricted,server_acknowledged,conditional,operational,diagnostic_session_id;item_version_id;previous_response_hash;response_value;change_sequence,response_time_ms,
diagnostic.session.abandoned,diagnostics,behavioral_domain,diagnostics,internal_domain_transaction,platform_domain_transaction,diagnostic_session,domain state; canonical_event; outbox,immutable canonical event store,yes,diagnostic_session: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,diagnostic_projection;intervention_orchestrator;behavioral_store,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_transactional,eligible,operational,diagnostic_session_id;abandoned_at;last_item_version_id,reason_code,
diagnostic.session.resumed,diagnostics,behavioral_domain,diagnostics,internal_domain_transaction,platform_domain_transaction,diagnostic_session,domain state; canonical_event; outbox,immutable canonical event store,yes,diagnostic_session: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,diagnostic_projection;behavioral_store,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_transactional,eligible,operational,diagnostic_session_id;resumed_at,elapsed_seconds,
diagnostic.session.completed,diagnostics,behavioral_domain,diagnostics,internal_domain_transaction,platform_domain_transaction,diagnostic_session,domain state; canonical_event; outbox,immutable canonical event store,yes,diagnostic_session: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,diagnostic_projection;personalization_engine;behavioral_store,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_transactional,eligible,operational,diagnostic_session_id;completed_at;completeness_ratio,quality_flags,
diagnostic.result.generated,diagnostics,domain,diagnostics,internal_domain_transaction,platform_domain_transaction,diagnostic_result,domain state; canonical_event; outbox,immutable canonical event store,yes,diagnostic_result: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,personalization_engine;research_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",restricted,server_transactional,derived_only,operational,diagnostic_result_id;diagnostic_session_id;instrument_version;dimension_results;data_quality;generated_at,operational_readiness,
personalization.recommendation.generated,diagnostics,domain,personalization_engine,internal_domain_transaction,platform_domain_transaction,recommendation,domain state; canonical_event; outbox,immutable canonical event store,yes,recommendation: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,journey_orchestration;explanation_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_transactional,ineligible,operational,recommendation_id;entrepreneur_id;policy_version;recommended_start;reason_codes;generated_at,journey_instance_id,
personalization.recommendation.presented,diagnostics,behavioral,application_backend,client_or_external_observation,accepted_observation; not authoritative for critical domain state,recommendation,accepted_observation/event_log; outbox; optional projection update,immutable canonical event store,yes,recommendation: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,behavioral_store,none by default,client may retry with same client_event_id; server deduplicates,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_acknowledged,weak_only,operational,recommendation_id;presentation_version;presented_at,channel,
personalization.recommendation.accepted,diagnostics,behavioral_domain,application_backend,internal_domain_transaction,platform_domain_transaction,recommendation,domain state; canonical_event; outbox,immutable canonical event store,yes,recommendation: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,journey_orchestration;behavioral_store,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_transactional,eligible,operational,recommendation_id;accepted_at,selected_option,
personalization.recommendation.overridden,diagnostics,behavioral_domain,application_backend,internal_domain_transaction,platform_domain_transaction,recommendation,domain state; canonical_event; outbox,immutable canonical event store,yes,recommendation: aggregate_id + aggregate_version when stateful; otherwise event_id/received_at,journey_orchestration;behavioral_store;research_projection,none by default,command retry only with idempotency key; async consumer retries independently,yes for asynchronous delivery/handler failures; rejected commands are not DLQ,"consumer checkpoint, aggregate version and projection consistency checks",pseudonymous,server_transactional,eligible,operational,recommendation_id;alternative_selected;overridden_at,reason_code,
